City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,rio grande,-32.035,-52.0986,16.06,61,8,5.78,BR,1689533550
164,fale old settlement,-9.3852,-171.2468,28.39,75,25,6.87,TK,1689533533
165,camarinas,43.1311,-9.1817,21.07,68,0,4.16,ES,1689533755
166,saint augustine beach,29.8505,-81.2654,31.0,74,40,2.57,US,1689533477
167,sangaree,33.0355,-80.1279,35.41,61,20,4.12,US,1689533755
168,mar del plata,-38.0023,-57.5575,10.53,78,75,7.6,AR,1689533755
169,prado,-17.3411,-39.2208,24.08,71,9,2.8,BR,1689533755
170,melur,10.05,78.3333,26.9,67,100,1.49,IN,1689533756
171,imbituba,-28.24,-48.6703,19.92,75,5,3.65,BR,1689533756
172,utrik,11.2278,169.8474,27.69,80,53,6.97,MH,1689533723
173,lazaro cardenas,17.9583,-102.2,31.71,67,56,3.33,MX,1689533756
174,labrador city,52.9463,-66.9114,23.95,53,40,3.6,CA,1689533756
175,ayaviri,-14.8864,-70.5889,16.62,16,3,1.21,PE,1689533756
176,isafjordur,66.0755,-23.124,10.02,71,0,6.69,IS,1689533697
177,lamu,-2.2717,40.902,25.12,80,94,6.55,KE,1689533658
178,parvatsar,26.8833,74.7667,28.48,68,72,2.78,IN,1689533756
179,mkushi,-13.6202,29.3939,12.47,63,0,2.65,ZM,1689533757
180,east ballina,-28.8667,153.5833,13.22,83,41,3.76,AU,1689533757
181,rosarito,32.3333,-117.0333,29.79,70,80,3.76,MX,1689533757
182,la'ie,21.6477,-157.9253,26.35,78,9,2.68,US,1689533661
183,hasaki,35.7333,140.8333,25.22,87,75,1.58,JP,1689533599
184,mount gambier,-37.8333,140.7667,6.58,88,67,3.08,AU,1689533757
185,vercelli,45.3231,8.4153,30.55,84,21,1.6,IT,1689533757
186,bulolo,-7.2,146.65,21.59,97,99,0.41,PG,1689533757
187,aykhal,66.0,111.5,9.59,58,100,3.25,RU,1689533667
188,lakatoro,-16.0999,167.4164,24.32,82,90,9.59,VU,1689533758
189,bilibino,68.0546,166.4372,22.5,42,11,1.16,RU,1689533573
190,havre,49.5833,0.3333,16.87,72,0,5.66,FR,1689533758
191,aasiaat,68.7098,-52.8699,2.74,93,100,1.02,GL,1689533556
192,sitka,57.0531,-135.33,14.94,88,100,1.54,US,1689533547
193,baltasi,56.3462,50.2062,16.48,67,89,3.29,RU,1689533758
194,pacasmayo,-7.4006,-79.5714,24.8,70,28,6.79,PE,1689533561
195,kristiansund,63.1115,7.732,18.03,77,75,7.72,NO,1689533758
196,saint-joseph,-21.3667,55.6167,21.37,83,29,6.4,RE,1689533758
197,norton shores,43.1689,-86.2639,25.29,62,40,4.63,US,1689533750
198,enewetak,11.3474,162.3373,28.06,79,72,7.38,MH,1689533721
199,midvagur,62.0511,-7.1939,9.46,81,100,7.2,FO,1689533759
200,tsiombe,-25.3,45.4833,18.39,70,0,0.67,MG,1689533703
201,keflavik,64.0049,-22.5624,14.95,58,0,8.75,IS,1689533359
202,jiutai,44.1525,125.8328,19.19,97,100,2.0,CN,1689533760
203,seven pagodas,12.6264,80.1722,30.03,73,100,6.06,IN,1689533760
204,hamilton,39.1834,-84.5333,30.12,59,0,4.12,US,1689533095
205,tsengel,49.4783,100.8894,16.0,71,58,0.47,MN,1689533760
206,cockburn town,21.4612,-71.1419,28.55,80,4,7.11,TC,1689533760
207,mandan,46.8267,-100.8896,21.99,55,40,6.17,US,1689533200
208,chibougamau,49.9168,-74.3659,21.79,78,100,4.63,CA,1689533762
209,qaisumah,28.3112,46.1273,38.98,7,0,2.06,SA,1689533762
210,qoryooley,1.7878,44.53,23.85,82,43,5.69,SO,1689533639
211,vallenar,-28.5708,-70.7581,25.79,12,100,2.67,CL,1689533762
212,kiunga,-6.1219,141.2906,21.77,95,100,0.5,PG,1689533763
213,berdigestyakh,62.0989,126.6992,5.99,81,7,0.68,RU,1689533763
214,bocas del toro,9.3333,-82.25,26.23,87,100,4.47,PA,1689533763
215,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,75,1.0,RU,1689533714
216,labuan,5.2767,115.2417,26.2,88,20,0.0,MY,1689533763
217,ta`u,-14.2336,-169.5144,26.28,81,77,7.56,AS,1689533688
218,san carlos del zulia,9.0,-71.9135,34.27,49,30,0.57,VE,1689533764
219,ambovombe,-25.1667,46.0833,19.03,67,0,1.76,MG,1689533764
220,badger,64.8,-147.5333,18.88,72,100,1.54,US,1689533611
221,kendari,-3.945,122.4989,22.54,95,100,1.75,ID,1689533764
222,ebon,4.582,168.6964,28.0,77,100,5.04,MH,1689533764
223,hadibu,12.65,54.0333,25.66,79,93,7.4,YE,1689533764
224,labytnangi,66.6572,66.4183,17.06,70,77,3.69,RU,1689533672
225,port kembla,-34.4667,150.9,12.97,85,36,1.77,AU,1689533764
226,puerto baquerizo moreno,-0.9,-89.6,28.55,70,40,6.17,EC,1689533765
227,mohammedia,33.7066,-7.3944,26.11,73,20,6.69,MA,1689533765
228,dzhankoy,45.7167,34.4,21.75,51,0,3.06,UA,1689533765
229,mount pearl,47.5166,-52.7813,25.81,65,75,7.2,CA,1689533535
230,fada,9.5667,8.3,22.74,83,33,1.57,NG,1689533765
231,kamen'-rybolov,44.7481,132.0403,15.55,98,88,4.09,RU,1689533766
232,thompson,55.7435,-97.8558,15.09,63,100,3.09,CA,1689533678
233,igarka,67.4667,86.5833,4.29,81,51,2.8,RU,1689533679
234,fort bragg,35.139,-79.006,33.84,55,0,5.14,US,1689533651
235,hilo,19.7297,-155.09,27.38,84,75,2.57,US,1689533667
236,colonia,50.9333,6.95,23.79,43,0,5.14,DE,1689533615
237,tilcara,-23.5776,-65.3509,13.63,14,31,2.04,AR,1689533766
238,smara,26.7384,-11.6719,27.37,46,0,9.65,EH,1689533767
239,christchurch,-43.5333,172.6333,6.93,90,20,1.03,NZ,1689533155
240,georgetown,5.4112,100.3354,27.96,82,20,0.51,MY,1689533565
241,quellon,-43.1167,-73.6167,7.14,70,40,2.57,CL,1689533620
242,sheridan,44.8333,-106.9173,31.84,34,0,1.54,US,1689533767
243,tasgaon,17.0333,74.6,23.15,84,100,5.55,IN,1689533767
244,extrema,-22.8547,-46.3183,23.01,45,35,3.21,BR,1689533768
245,guasdualito,7.2424,-70.7324,30.98,66,40,1.03,VE,1689533768
246,tromso,69.6496,18.957,16.01,77,75,6.69,NO,1689533741
247,tidjikja,18.5564,-11.4271,33.87,30,100,6.39,MR,1689533769
248,patrocinio,-18.9439,-46.9925,19.87,71,98,3.06,BR,1689533770
249,saint-louis,16.3333,-15.0,35.8,47,100,8.44,SN,1689533770
250,astrakhan,46.3497,48.0408,23.93,46,0,3.0,RU,1689533677
251,pokhara,28.2333,83.9833,23.17,91,100,0.69,NP,1689533540
252,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,1689533658
253,east moriches,40.8051,-72.7609,26.26,96,100,3.09,US,1689533771
254,newman,37.3138,-121.0208,37.19,11,100,0.51,US,1689533705
255,mpika,-11.8343,31.4529,11.64,64,3,1.6,ZM,1689533771
256,hailey,43.5196,-114.3153,32.11,28,0,2.24,US,1689533771
257,balqash,46.8481,74.995,24.84,39,0,2.45,KZ,1689533771
258,starobesheve,47.7504,38.0305,18.32,60,0,2.64,UA,1689533772
259,puerto armuelles,8.2833,-82.8667,30.99,84,100,1.34,PA,1689533772
260,chulakkurgan,43.765,69.1814,26.73,26,0,1.76,KZ,1689533772
261,kingston,17.997,-76.7936,32.91,72,20,10.29,JM,1689533646
262,at taj,24.2049,23.2857,31.91,15,78,3.94,LY,1689533623
263,arkhangel'sk,64.5401,40.5433,16.33,75,77,0.96,RU,1689533772
264,amga,60.8953,131.9608,9.32,98,20,0.57,RU,1689533582
265,pandan,14.0453,124.1694,26.83,83,100,4.2,PH,1689533725
266,totness,5.8833,-56.3167,29.76,67,50,4.66,SR,1689533773
267,ugoofaaru,5.6667,73.0,28.31,77,11,6.89,MV,1689533773
268,talodi,10.6325,30.3797,26.5,61,11,1.57,SD,1689533773
269,the dalles,45.5946,-121.1787,36.44,30,0,8.75,US,1689533577
270,remire-montjoly,4.9167,-52.2667,28.02,83,75,3.09,GF,1689533691
271,oliver,49.1831,-119.5524,31.14,23,6,1.03,CA,1689533773
272,makinsk,52.6292,70.4169,15.79,83,92,3.26,KZ,1689533774
273,carloforte,39.145,8.3058,26.64,75,64,4.59,IT,1689533774
274,nantucket,41.2835,-70.0995,26.72,89,100,7.2,US,1689533505
275,neiafu,-18.65,-173.9833,22.38,78,75,4.12,TO,1689533774
276,nagqu,31.5,92.0,2.82,85,0,1.19,CN,1689533601
277,bulayevo,54.9056,70.4439,15.13,85,91,1.82,KZ,1689533774
278,dalnerechensk,45.9339,133.7225,17.22,96,100,1.95,RU,1689533775
279,karratha,-20.7377,116.8463,17.95,34,2,4.74,AU,1689533567
280,palmer,42.1584,-72.3287,25.08,85,100,4.63,US,1689533717
281,baukau,51.5526,7.2042,22.94,55,87,2.24,DE,1689533775
282,shakhovskaya,56.0283,35.5097,16.47,77,27,0.92,RU,1689533775
283,alofi,-19.0595,-169.9187,19.94,94,100,3.6,NU,1689533666
284,brookings,44.3114,-96.7984,22.81,65,0,6.17,US,1689533777
285,luanda,-8.8368,13.2343,21.0,88,40,4.12,AO,1689533777
286,portland,45.5234,-122.6762,30.55,44,99,2.68,US,1689533151
287,garla-mare,44.2092,22.775,26.74,57,0,1.9,RO,1689533778
288,mili,6.0815,171.735,27.8,72,60,6.31,MH,1689533610
289,bel ombre,-4.6167,55.4167,25.91,83,40,4.12,SC,1689533778
290,rio preto da eva,-2.6994,-59.6997,35.62,33,99,2.39,BR,1689533778
291,tralee,52.2704,-9.7026,13.56,88,98,5.54,IE,1689533566
292,salinas,36.6777,-121.6555,32.52,64,0,5.66,US,1689533558
293,djambala,-2.5447,14.7533,28.31,39,99,1.06,CG,1689533778
